run_id,mode,archetype,speed,approach,dipole,shaft,noise,seed,rmse,p50,p90,max,dnh_ratio,burst_peak,contamination,pass
1,A,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,1001,0.6689,0.5545,1.1278,1.1816,0.7527,98.0862,0.2172,true
2,A,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,2002,0.4924,0.4179,0.8304,0.856,0.7324,95.4906,0.2866,true
3,A,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,3003,0.5241,0.4521,0.8054,0.8556,0.7312,94.7437,0.3449,true
4,B,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,4001,1.0725,0.6181,1.8545,1.8891,0.8365,95.1632,0.4903,true
5,B,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,5002,1.0553,0.6365,1.7263,1.7485,0.8223,93.8886,0.5386,true
6,B,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,6003,0.9512,0.7523,1.6142,1.653,0.8245,93.7229,0.5212,true
7,C,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,7001,0.6037,0.5898,0.9467,0.9931,0.746,95.004,0.4517,true
8,C,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,8002,0.5588,0.479,0.9283,0.9845,0.7417,94.5129,0.4879,true
9,C,corridor,ELEV_SLOW,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,9003,0.5269,0.4572,0.8163,0.8501,0.7176,94.1715,0.3953,true
10,A,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,10001,0.5543,0.4973,0.8951,0.9584,0.7555,98.2007,0.6037,true
11,A,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,11002,0.4886,0.4416,0.7439,0.7731,0.6082,94.1452,0.184,true
12,A,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,12003,0.4925,0.4128,0.7974,0.8358,0.7327,93.5719,0.2856,true
13,B,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,13001,0.9134,0.6861,1.561,1.5846,0.8006,94.6838,0.4765,true
14,B,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,14002,1.1155,0.7302,1.8623,1.8978,0.8473,94.5942,0.0271,true
15,B,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,15003,1.1603,0.6395,1.9776,2.0214,1.0079,93.6685,0.1177,true
16,C,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,16001,0.548,0.5233,0.8546,0.9417,0.7376,93.0846,0.3816,true
17,C,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,17002,0.5783,0.5228,0.9515,0.9875,0.7757,94.545,0.4408,true
18,C,corridor,ELEV_FAST,APPROACH_NEAR,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,18003,0.5655,0.4784,0.9591,1.0109,0.7634,94.3648,0.3007,true
19,A,corridor,ELEV_SLOW,APPROACH_MEDIUM,DIPOLE_NOMINAL,SHAFT_SINGLE,NOISE_NOMINAL,19001,0.6873,0.4904,1.1386,1.1701,0.9694,91.1886,0.4251,true
